GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32
1,1,1,1,1,1,1,1,1,1,1,0,0.236344009,0,0.236344009,0,0.236344009,1,1,0,0.236344009,1,0,0.236344009,1,0,0.236344009,0,0.236344009,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.208060453,0,0.208060453,0,0.208060453,1,1,0,0.208060453,1,0,0.208060453,1,0,0.208060453,0,0.208060453,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.196473552,0,0.196473552,0,0.196473552,1,1,0,0.196473552,1,0,0.196473552,1,0,0.196473552,0,0.196473552,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.195106153,0,0.195106153,0,0.195106153,1,1,0,0.195106153,1,0,0.195106153,1,0,0.195106153,0,0.195106153,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.170780856,0,0.170780856,0,0.170780856,1,1,0,0.170780856,1,0,0.170780856,1,0,0.170780856,0,0.170780856,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.17970493,0,0.17970493,0,0.17970493,1,1,0,0.17970493,1,0,0.17970493,1,0,0.17970493,0,0.17970493,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.19093199,0,0.19093199,0,0.19093199,1,1,0,0.19093199,1,0,0.19093199,1,0,0.19093199,0,0.19093199,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0.00465022,0.20561353,0.00465022,0.20561353,0.00465022,0.20561353,1,1,0.00465022,0.20561353,1,0.00465022,0.20561353,1,0.00465022,0.20561353,0.00465022,0.20561353,1,0.00465022,0.00465022
1,1,1,1,1,1,1,1,1,1,1,0.190871,0.221878374,0.190871,0.221878374,0.190871,0.221878374,1,1,0.190871,0.221878374,1,0.190871,0.221878374,1,0.190871,0.221878374,0.190871,0.221878374,1,0.190871,0.190871
1,1,1,1,1,1,1,1,1,1,1,0.439709,0.20474991,0.439709,0.20474991,0.439709,0.20474991,1,1,0.439709,0.20474991,1,0.439709,0.20474991,1,0.439709,0.20474991,0.439709,0.20474991,1,0.439709,0.439709
